Câu hỏi,Trả lời
"Trong khi bé được phẫu thuật, em có thể chờ và được cập nhật tình hình không ạ?","Dạ, trong thời gian bé phẫu thuật, Anh/Chị có thể ngồi nghỉ tại khu vực phòng chờ của GAIA ạ – nơi có nước uống, wifi và ghế thoải mái. Chúng tôi hiểu tâm trạng lo lắng của Anh/Chị, nên sẽ cử nhân viên cập nhật tình hình ca mổ cho Anh/Chị (ví dụ: đã gây mê xong, đã mổ xong đang khâu…). Ngay sau khi phẫu thuật hoàn tất và bé chuyển sang hồi tỉnh, bác sĩ sẽ gặp Anh/Chị để thông báo kết quả chi tiết. Anh/Chị có muốn GAIA bố trí người trao đổi thông tin với Anh/Chị liên tục trong lúc bé đang phẫu thuật không ạ?"
GAIA có dịch vụ tắm và cắt tỉa lông cho thú cưng không ạ?,"Dạ, GAIA có đầy đủ dịch vụ spa grooming cho thú cưng ạ. Chúng tôi nhận tắm, sấy, chải lông rụng, cắt tỉa lông theo yêu cầu, cắt móng, vệ sinh tai và tuyến hôi cho các bé chó mèo. Đội ngũ nhân viên spa của GAIA được đào tạo bài bản, đảm bảo bé cưng sẽ sạch sẽ thơm tho và dễ thương sau khi sử dụng dịch vụ. Anh/Chị có muốn đặt lịch cho bé trải nghiệm dịch vụ spa của GAIA không ạ?"
Một buổi spa grooming cho thú cưng bao gồm những gì ạ?,"Dạ, một buổi spa grooming tại GAIA sẽ bao gồm: tắm với dầu tắm chuyên dụng phù hợp loại da lông của bé, sấy và chải lông mượt, cắt tỉa lông tạo kiểu (nếu Anh/Chị yêu cầu), cắt móng, vệ sinh tai và vệ sinh tuyến mùi (đối với chó). Toàn bộ quy trình được thực hiện nhẹ nhàng để bé thấy thoải mái như đi spa thư giãn. Anh/Chị có muốn đăng ký gói spa đầy đủ để bé được chăm sóc toàn diện từ A đến Z không ạ?"
Giá dịch vụ grooming tại GAIA là bao nhiêu ạ?,"Dạ, chi phí grooming tại GAIA tùy thuộc vào loại dịch vụ và kích thước của bé ạ. Ví dụ, giá tắm và sấy cho một bé chó nhỏ bắt đầu từ khoảng 300.000 (VNĐ), còn cắt tỉa tạo kiểu sẽ có giá riêng tùy độ phức tạp. GAIA luôn báo giá cụ thể cho Anh/Chị trước khi làm. Đặc biệt, nếu sử dụng trọn gói spa (tắm, cắt lông, vệ sinh đầy đủ), Anh/Chị sẽ được ưu đãi hơn so với làm lẻ từng dịch vụ. Anh/Chị có muốn GAIA gửi bảng giá chi tiết dịch vụ grooming theo cân nặng của bé không ạ?"
"Trước khi đưa bé đi spa grooming, em cần chuẩn bị gì không ạ?","Dạ, Anh/Chị chỉ cần đảm bảo bé đã được tiêm phòng đầy đủ trước khi đến spa để an toàn cho bé và các bạn khác ạ. Nếu bé có thói quen ăn uống đặc biệt hoặc dị ứng với sản phẩm gì, Anh/Chị có thể báo trước cho GAIA. Ngoài ra, nên cho bé đi vệ sinh trước khi đến để bé thoải mái hơn. Mọi dụng cụ và sản phẩm tắm gội GAIA đều chuẩn bị sẵn rồi. Anh/Chị có muốn đặt lịch trước và gửi yêu cầu đặc biệt (nếu có) để GAIA chuẩn bị chu đáo cho bé không ạ?"
Bao lâu thì nên cho thú cưng đi grooming một lần ạ?,"Dạ, tần suất grooming phụ thuộc vào giống và độ dài lông của bé ạ. Thông thường, với các bé lông dài hoặc lông xoăn (như Poodle, Alaska), Anh/Chị nên cho bé đi grooming khoảng mỗi 4-6 tuần một lần để lông luôn gọn gàng, không bị rối và sạch sẽ. Đối với các bé lông ngắn, có thể 6-8 tuần một lần hoặc khi nào bé bẩn. Bác sĩ và nhân viên GAIA cũng có thể tư vấn lịch grooming phù hợp cho từng bé. Anh/Chị có muốn GAIA nhắc lịch grooming định kỳ cho bé để luôn xinh đẹp không ạ?"
GAIA có nhận grooming cho mèo không? Mèo nhà em khá khó tắm.,"Dạ, GAIA có nhận grooming cho cả mèo nữa ạ. Chúng tôi hiểu các bé mèo thường nhạy cảm với nước và tiếng ồn, nên nhân viên GAIA sẽ tiếp cận bé rất nhẹ nhàng, tắm nhanh gọn và dùng máy sấy chuyên dụng êm ái để không làm bé hoảng sợ. Nếu mèo nhà Anh/Chị khó tắm, GAIA cũng có thể dùng khăn ấm lau sạch và tắm khô nếu cần. Quan trọng là đảm bảo bé sạch sẽ mà vẫn thoải mái. Anh/Chị có muốn đưa bé mèo đến GAIA để trải nghiệm một buổi grooming nhẹ nhàng thử không ạ?"
Nếu thú cưng không hợp tác khi tắm hoặc cắt lông thì GAIA xử lý thế nào ạ?,"Dạ, trong trường hợp bé không hợp tác (giãy dụa nhiều hoặc quá sợ), nhân viên GAIA sẽ kiên nhẫn trấn an và không ép buộc bé ạ. Chúng tôi thường vuốt ve, chơi đùa một chút để bé bình tĩnh rồi mới tiếp tục grooming. Nếu bé quá căng thẳng, GAIA sẽ trao đổi với Anh/Chị dời dịch vụ sang lần khác hoặc dùng biện pháp hỗ trợ. Ở một số trường hợp đặc biệt, bác sĩ có thể cho bé dùng thuốc an thần liều nhẹ để hoàn thành grooming một cách an toàn, nhưng chỉ khi thật cần thiết và được Anh/Chị đồng ý. Mục tiêu là không làm bé hoảng sợ. Anh/Chị có an tâm hơn khi biết GAIA luôn đặt cảm xúc của bé lên hàng đầu không ạ?"
Các sản phẩm dầu tắm và dụng cụ GAIA dùng có an toàn cho bé không ạ?,"Dạ, GAIA chỉ sử dụng các sản phẩm chất lượng cao và an toàn cho thú cưng ạ. Dầu tắm, sữa tắm đều là loại chuyên dụng cho chó mèo, có chiết xuất thiên nhiên, không gây kích ứng da. Tông đơ, kéo cắt lông được vệ sinh và tiệt trùng sau mỗi lượt sử dụng nên rất an toàn. Chúng tôi hiểu bé như em bé trong gia đình, nên mọi thứ dùng cho bé GAIA đều chọn lựa kỹ càng. Anh/Chị có muốn ghé thăm khu vực spa của GAIA trước để xem qua sản phẩm và quy trình không ạ?"
Một buổi grooming cho thú cưng thường kéo dài bao lâu ạ?,"Dạ, thời gian grooming phụ thuộc vào dịch vụ và độ hợp tác của bé ạ. Thông thường một buổi tắm và sấy cho bé mất khoảng 1 tiếng. Nếu có cắt tỉa tạo kiểu thì có thể lâu hơn, tầm 2 tiếng hoặc hơn đối với giống lông dày và kiểu cắt phức tạp. GAIA sẽ thông báo trước ước lượng thời gian để Anh/Chị sắp xếp. Anh/Chị có muốn để lại bé tại GAIA và nhận thông báo đón bé sau khi làm xong để tiết kiệm thời gian không ạ?"
Em có cần đặt lịch trước khi đưa bé đến grooming không ạ?,"Dạ, Anh/Chị có thể đưa bé tới grooming bất cứ lúc nào trong giờ làm việc cũng được ạ. Tuy nhiên, GAIA khuyến khích nên đặt lịch trước để chúng tôi sắp xếp nhân viên spa và không để bé phải chờ. Nhất là vào cuối tuần hoặc dịp đông khách, đặt hẹn giúp đảm bảo bé được phục vụ ngay khi đến. Anh/Chị có muốn đặt lịch grooming cho bé vào khung giờ thuận tiện ngay bây giờ không ạ?"
"Trong lúc bé đang được grooming, em có thể ngồi chờ và xem được không ạ?","Dạ, tất nhiên rồi ạ. GAIA có khu vực phòng chờ thoải mái ngay cạnh khu spa, Anh/Chị có thể ngồi xem trực tiếp qua kính để yên tâm thấy bé được chăm sóc. Chúng tôi luôn minh bạch trong quy trình và hiểu rằng Anh/Chị muốn quan sát để bé cưng an toàn. Nếu cần, Anh/Chị cũng có thể trao đổi với nhân viên spa trong lúc làm để cùng phối hợp trấn an bé. Sự hiện diện của Anh/Chị đôi khi giúp bé an tâm hơn. Anh/Chị có muốn dùng một tách trà trong lúc ngồi chờ bé làm spa tại GAIA không ạ?"
GAIA có nhận trông giữ thú cưng qua đêm khi chủ đi vắng không ạ?,"Dạ, GAIA có dịch vụ khách sạn thú cưng nhận trông giữ các bé qua đêm hoặc dài ngày ạ. Anh/Chị có thể gửi bé ở GAIA mỗi khi đi công tác hoặc du lịch, chúng tôi sẽ chăm sóc bé chu đáo như ở nhà. Mỗi bé sẽ có chuồng nghỉ ngơi riêng sạch sẽ, đảm bảo an toàn và thoải mái. Anh/Chị có muốn tham quan khu khách sạn thú cưng của GAIA trước khi gửi bé không ạ?"
Chi phí gửi thú cưng ở khách sạn GAIA là bao nhiêu ạ?,"Dạ, chi phí lưu trú phụ thuộc vào loại thú cưng và thời gian gửi ạ. Ví dụ, phí gửi một bé chó nhỏ qua đêm khoảng 300.000đ/đêm, đã bao gồm ăn uống cơ bản; mèo thì khoảng 300.000đ/đêm. Nếu gửi dài ngày hoặc nhiều bé một lúc, GAIA có chính sách ưu đãi giảm giá. Ngoài ra, GAIA có hệ thống phòng VIP, riêng biệt với các thiết bị thông minh giúp kết nối giữa chủ thú cưng và thú cưng 24/7, với chi phí từ 1.500.000 (VNĐ)/ngày.
Chúng tôi sẽ thống nhất chi phí cụ thể với Anh/Chị trước khi nhận bé. Anh/Chị có muốn GAIA gửi bảng giá chi tiết dịch vụ khách sạn thú cưng không ạ?"
Chỗ ăn ở của thú cưng tại GAIA như thế nào ạ?,"Dạ, khu vực khách sạn thú cưng của GAIA được thiết kế rất sạch sẽ và tiện nghi ạ. Mỗi bé sẽ ở trong một không gian riêng (chuồng hoặc phòng nhỏ tùy kích cỡ), có đệm êm để nằm và được vệ sinh khử mùi hàng ngày. Phòng ở có điều hòa thoáng mát mùa hè, ấm áp mùa đông. Chó và mèo được bố trí khu vực ở tách biệt để các bé không căng thẳng. Anh/Chị có thể yên tâm là bé sẽ được nghỉ ngơi trong điều kiện tốt nhất. Anh/Chị có muốn đến xem thử phòng ở của bé trước khi quyết định gửi không ạ?"
GAIA chăm sóc việc ăn uống và vận động cho bé ra sao khi ở khách sạn ạ?,"Dạ, lịch sinh hoạt của bé tại GAIA sẽ cố gắng giữ theo thói quen ở nhà để bé đỡ bỡ ngỡ ạ. Chúng tôi cho bé ăn 2-3 bữa một ngày (theo khẩu phần Anh/Chị dặn hoặc theo tư vấn của bác sĩ dinh dưỡng). Mỗi ngày, bé chó sẽ được dắt đi dạo, vận động vui chơi ít nhất 2 lần; bé mèo sẽ được chơi đùa với đồ chơi an toàn trong phòng. GAIA có nhân viên theo dõi, đảm bảo các bé được ăn uống đầy đủ và vận động hợp lý. Anh/Chị có muốn gửi lịch ăn hoặc hướng dẫn chăm sóc đặc biệt của bé để GAIA tuân thủ đúng không ạ?"
"Khi gửi bé, em có cần mang theo thức ăn hoặc đồ dùng quen thuộc của bé không ạ?","Dạ, GAIA khuyến khích Anh/Chị mang theo một ít thức ăn quen thuộc của bé (nếu có) để bé không bị đổi chế độ đột ngột ạ. Ngoài ra, có thể mang kèm đồ chơi hoặc chăn nằm yêu thích của bé để bé có mùi hương thân thuộc, giúp đỡ nhớ nhà. Tuy nhiên nếu Anh/Chị không mang được thì cũng không sao, GAIA có đầy đủ thức ăn chất lượng và đồ chơi sạch sẽ cho bé sử dụng. Tất cả sẽ được ghi tên để tránh lẫn lộn giữa các bé. Anh/Chị có muốn GAIA chuẩn bị sẵn thức ăn loại bé đang dùng để duy trì thói quen cho bé không ạ?"
Thú cưng có cần tiêm phòng đầy đủ trước khi gửi ở GAIA không ạ?,"Dạ, để đảm bảo an toàn sức khỏe cho tất cả các bé, GAIA yêu cầu thú cưng phải được tiêm phòng đầy đủ trước khi lưu trú ạ (đặc biệt là các bệnh như care, parvo, cúm, dại đối với chó; giảm bạch cầu, calici, dại đối với mèo). Nếu bé chưa tiêm đủ, bác sĩ GAIA có thể hỗ trợ kiểm tra và tiêm bổ sung trước khi nhận gửi. Điều này giúp phòng tránh lây nhiễm và bảo vệ chính bé cũng như các bạn xung quanh. Anh/Chị có muốn nhờ GAIA kiểm tra sổ tiêm và tiêm bổ sung cho bé (nếu cần) trước khi gửi không ạ?"
GAIA có nhận gửi thú cưng lâu dài (vài tuần hoặc cả tháng) không ạ?,"Dạ, GAIA nhận gửi các bé dài ngày thoải mái ạ, từ vài ngày đến vài tuần hoặc cả tháng nếu Anh/Chị đi công tác dài. Trong trường hợp gửi dài, GAIA sẽ thường xuyên cập nhật tình hình của bé cho Anh/Chị và có chế độ chăm sóc đặc biệt để bé không bị stress. Chúng tôi cũng có giá ưu đãi theo tuần/tháng để giảm bớt chi phí cho Anh/Chị. Anh/Chị cứ yên tâm sắp xếp công việc, bé cưng đã có GAIA trông nom. Anh/Chị có muốn biết về ưu đãi khi gửi bé dài ngày tại GAIA không ạ?"
"Trong thời gian gửi, em có thể đến thăm bé hoặc nhận cập nhật tình hình của bé không ạ?","Dạ, chắc chắn rồi ạ. GAIA luôn hoan nghênh Anh/Chị đến thăm bé trong giờ làm việc để bé vui hơn. Ngoài ra, hàng ngày nhân viên GAIA sẽ gửi cập nhật cho Anh/Chị qua Zalo: có thể là hình ảnh hoặc video ngắn của bé đang ăn, chơi, ngủ, để Anh/Chị hoàn toàn yên tâm. Nếu có vấn đề gì bất thường, GAIA sẽ báo ngay lập tức. Sự minh bạch và kết nối với chủ nuôi là ưu tiên của chúng tôi. Anh/Chị có muốn đăng ký nhận video cập nhật hằng ngày khi bé đang lưu trú tại GAIA không ạ?"
Nếu thú cưng bị ốm hoặc có vấn đề sức khỏe khi đang ở GAIA thì sao ạ?,"Dạ, vì GAIA là bệnh viện thú cưng nên Anh/Chị hoàn toàn yên tâm về khoản này ạ. Nếu trong thời gian lưu trú mà bé có dấu hiệu ốm hoặc tai nạn, bác sĩ GAIA sẽ lập tức thăm khám và xử lý kịp thời cho bé. Chúng tôi sẽ đồng thời thông báo ngay cho Anh/Chị về tình hình và trao đổi phương án điều trị. Sức khỏe của bé luôn được theo dõi hàng ngày nên khó có gì bị bỏ sót. Anh/Chị có muốn GAIA ưu tiên cho bé khám sức khỏe tổng quát ngay khi nhận gửi để đảm bảo bé hoàn toàn khỏe mạnh không ạ?"
Em có cần đặt chỗ trước khi gửi bé vào khách sạn thú cưng GAIA không ạ?,"Dạ, nếu có thể Anh/Chị nên đặt chỗ trước đặc biệt vào các dịp cao điểm như lễ Tết ạ, vì thời gian đó nhu cầu gửi thường tăng cao và GAIA có giới hạn số lượng chuồng/phòng. Ngày thường thì Anh/Chị có thể mang bé tới mà không báo trước, nhưng đặt lịch trước vài ngày sẽ giúp GAIA chuẩn bị chu đáo chỗ ở và không bị quá tải. Anh/Chị có muốn đăng ký giữ chỗ cho bé từ bây giờ cho kỳ nghỉ sắp tới không ạ?"
"Khi nhận gửi, GAIA có kiểm tra sức khỏe của bé không ạ?","Dạ, trước khi nhận bé vào khách sạn, bác sĩ GAIA sẽ kiểm tra sức khỏe sơ bộ cho bé ạ. Chúng tôi sẽ đo nhiệt độ, kiểm tra tai, mắt, da lông xem có dấu hiệu ve rận hay bệnh truyền nhiễm không. Nếu phát hiện vấn đề, GAIA sẽ báo ngay để trao đổi với Anh/Chị trước khi gửi. Ngoài ra, nếu bé ở lâu, bác sĩ cũng sẽ theo dõi định kỳ trong thời gian lưu trú. Việc kiểm tra này nhằm đảm bảo môi trường lưu trú an toàn cho tất cả các bé. Anh/Chị có đồng ý để GAIA thực hiện kiểm tra sức khỏe nhanh cho bé khi gửi không ạ?"
GAIA có dịch vụ đưa đón thú cưng tận nhà không ạ?,"Dạ, GAIA có cung cấp dịch vụ vận chuyển thú cưng tận nhà ạ. Nếu Anh/Chị bận hoặc không có phương tiện đưa bé đến bệnh viện, chỉ cần liên hệ GAIA, chúng tôi sẽ điều xe chuyên dụng tới đón bé tại nhà và đưa đến GAIA hoặc địa điểm Anh/Chị yêu cầu. Xe vận chuyển của GAIA được trang bị điều hòa, lồng vận chuyển an toàn để bé thoải mái trong suốt hành trình. Anh/Chị có muốn đăng ký dịch vụ xe đưa đón cho bé không ạ?"
Phí dịch vụ vận chuyển thú cưng của GAIA là bao nhiêu ạ?,"Dạ, chi phí vận chuyển sẽ tùy thuộc khoảng cách và thời gian di chuyển ạ. GAIA tính phí dựa trên quãng đường km, trong nội thành Hà Nội thường khoảng 1000.000đ/km (có phí tối thiểu cho chặng ngắn). Chúng tôi sẽ báo giá ước tính trước cho Anh/Chị khi đặt xe. Nếu vận chuyển liên tỉnh hoặc yêu cầu đặc biệt (ví dụ: kèm chăm sóc y tế khi di chuyển), GAIA sẽ có bảng giá riêng. Anh/Chị có muốn cung cấp địa chỉ để GAIA ước tính chi phí vận chuyển cho bé không ạ?"
Dịch vụ vận chuyển thú cưng của GAIA có đảm bảo an toàn cho bé không ạ?,"Dạ, GAIA luôn đặt an toàn của bé lên hàng đầu khi vận chuyển ạ. Trước khi di chuyển, bé sẽ được đặt trong lồng vận chuyển chuyên dụng, cố định chắc chắn trên xe để không bị xô lệch. Xe GAIA có điều hòa mát mẻ vào mùa hè, ấm áp vào mùa đông và được vệ sinh sạch sẽ sau mỗi chuyến. Nhân viên vận chuyển đều có kinh nghiệm xử lý thú cưng, sẽ dừng nghỉ nếu thấy bé có dấu hiệu căng thẳng. Anh/Chị có muốn xem hình ảnh xe vận chuyển và cách GAIA sắp xếp cho bé trên xe không ạ?"
GAIA có vận chuyển thú cưng đi các tỉnh xa hoặc ra sân bay không ạ?,"Dạ, GAIA có thể sắp xếp vận chuyển thú cưng đi tỉnh khác hoặc ra sân bay ạ. Đối với quãng đường xa, chúng tôi chuẩn bị đầy đủ nước uống, dừng nghỉ cho bé đi vệ sinh dọc đường. Nếu vận chuyển bằng máy bay, GAIA hỗ trợ chuẩn bị lồng vận chuyển đạt tiêu chuẩn hàng không và giấy tờ sức khỏe cần thiết. Chúng tôi đã có kinh nghiệm đưa nhiều bé đi các tỉnh miền Trung, miền Nam và cả ra nước ngoài. Anh/Chị có muốn GAIA tư vấn chi tiết về việc vận chuyển bé đi xa hay xuất cảnh không ạ?"
GAIA có hỗ trợ làm thủ tục xuất nhập cảnh cho thú cưng không ạ?,"Dạ, có ạ. GAIA hỗ trợ trọn gói thủ tục xuất nhập cảnh cho thú cưng nếu Anh/Chị có nhu cầu đưa bé ra nước ngoài hoặc đón bé từ nước ngoài về. Chúng tôi sẽ hướng dẫn và giúp chuẩn bị các giấy tờ cần thiết như giấy kiểm dịch, sổ tiêm chủng, hồ sơ sức khỏe và giấy phép vận chuyển. GAIA cũng phối hợp với các hãng hàng không và cơ quan thú y để quy trình suôn sẻ nhất. Anh/Chị có muốn GAIA liên hệ và tư vấn cụ thể các bước để đưa bé xuất ngoại không ạ?"
Em cần đặt trước bao lâu nếu muốn sử dụng dịch vụ vận chuyển thú cưng của GAIA ạ?,"Dạ, nếu trong nội thành Hà Nội, Anh/Chị nên liên hệ trước khoảng 1-2 giờ để GAIA sắp xếp xe ạ. Còn nếu đi xa hoặc lịch trình cố định (ví dụ ra sân bay), Anh/Chị nên đặt trước ít nhất 1 ngày để chúng tôi chuẩn bị chu đáo và đúng giờ. GAIA luôn cố gắng linh động phục vụ nhanh nhất có thể, nhưng đặt sớm sẽ đảm bảo có xe và tài xế sẵn sàng. Anh/Chị có muốn đặt lịch xe cho bé trước để chắc chắn có xe đúng giờ không ạ?"
"Trước khi vận chuyển, em cần chuẩn bị gì cho bé không ạ?","Dạ, trước khi cho bé di chuyển, Anh/Chị nên cho bé ăn nhẹ và đi vệ sinh trước để bé thoải mái trên đường ạ (tránh cho bé ăn quá no để đề phòng say xe). Nếu bé có chuồng hoặc túi vận chuyển quen thuộc ở nhà thì nên cho bé nằm trong đó, hoặc mang theo khăn/đồ chơi quen mùi để bé an tâm. GAIA cũng chuẩn bị sẵn nước uống và sẽ dừng nghỉ cho bé nếu đi xa. Anh/Chị có cần GAIA chuẩn bị sẵn chuồng hoặc dây đai an toàn cho bé trước chuyến đi không ạ?"
"Khi dùng dịch vụ vận chuyển, em có thể đi cùng xe với thú cưng không ạ?","Dạ, tất nhiên Anh/Chị có thể đi cùng bé trên xe của GAIA ạ. Nhiều khách hàng cũng lựa chọn đi kèm để trấn an bé trong quá trình di chuyển. Xe vận chuyển của GAIA có chỗ ngồi cho chủ nuôi nếu cần. Trường hợp Anh/Chị không thể đi theo, chúng tôi sẽ cử nhân viên đi kèm để chăm sóc bé suốt hành trình. Anh/Chị có muốn đi cùng bé trên xe GAIA để yên tâm hơn không ạ?"
GAIA có cung cấp lồng vận chuyển nếu em không có sẵn không ạ?,"Dạ, GAIA có các loại lồng vận chuyển nhiều kích cỡ và chúng tôi sẽ chuẩn bị phù hợp cho bé ạ. Nếu Anh/Chị chưa có lồng cho bé, GAIA sẽ mang theo lồng sạch sẽ, chắc chắn khi đến đón. Lồng sẽ được lót đệm êm để bé thoải mái. Chi phí sử dụng lồng đã bao gồm trong dịch vụ vận chuyển, Anh/Chị không phải trả thêm. Anh/Chị có cần GAIA chuẩn bị lồng lớn hay nhỏ theo kích thước bé nhà mình không ạ?"
GAIA có hỗ trợ vận chuyển thú cưng trong trường hợp cấp cứu ban đêm không ạ?,"Dạ, GAIA có hỗ trợ vận chuyển cấp cứu ngoài giờ ạ. Nếu ban đêm bé gặp tình huống khẩn cấp, Anh/Chị có thể gọi vào số hotline cấp cứu 024 3795 6956, GAIA sẽ điều phối xe và bác sĩ đến ngay. Dịch vụ cấp cứu 24/7 này nhằm đảm bảo bé được đưa đến bệnh viện nhanh nhất và an toàn nhất khi nguy cấp. Anh/Chị hãy lưu lại số hotline cấp cứu của GAIA để phòng trường hợp cần gấp nhé ạ. Anh/Chị có muốn GAIA gửi danh thiếp thông tin liên lạc khẩn cấp cho mình không ạ?"
Dịch vụ vận chuyển thú cưng của GAIA phục vụ trong những khu vực nào ạ?,"Dạ, hiện GAIA chủ yếu phục vụ vận chuyển trong địa bàn Hà Nội và các vùng lân cận ạ. Cụ thể nội thành và các huyện ngoại thành lân cận đều nằm trong phạm vi phục vụ của chúng tôi. Với các tỉnh xa hơn, GAIA vẫn có thể hỗ trợ sắp xếp theo trường hợp cụ thể (có phụ phí). Anh/Chị cứ liên hệ, GAIA sẽ cố gắng đáp ứng tối đa nhu cầu đi lại của bé. Anh/Chị có địa điểm cụ thể cần vận chuyển để GAIA tư vấn ngay được không ạ?"
GAIA có bán thức ăn và phụ kiện cho thú cưng không ạ?,"Dạ, GAIA có hệ thống cửa hàng pet shop cung cấp đa dạng thức ăn và phụ kiện cho thú cưng ạ. Tại GAIA Riverside, Anh/Chị có thể tìm thấy các loại thức ăn hạt, pate, bánh thưởng cho chó mèo, cùng với phụ kiện như vòng cổ, dây dắt, áo quần, đồ chơi, khay vệ sinh, v.v. Tất cả đều được GAIA chọn lọc từ các thương hiệu uy tín. Anh/Chị có muốn ghé qua khu vực cửa hàng sau khi khám để tham khảo sản phẩm cho bé không ạ?"
Em có thể mua những sản phẩm nào tại GAIA Pet Shop?,"Dạ, tại GAIA Pet Shop có đầy đủ các sản phẩm cần thiết cho thú cưng ạ. Từ thức ăn (hạt khô, đồ ướt, đồ ăn thưởng) đến các sản phẩm chăm sóc như sữa tắm, dầu gội, thuốc nhỏ bọ chét, cho tới phụ kiện (chuồng, lồng vận chuyển, đệm nằm, đồ chơi, quần áo). Ngoài ra, GAIA còn có các sản phẩm chăm sóc sức khỏe như vitamin, thực phẩm bổ sung và cả mỹ phẩm cho thú cưng. Có thể nói Anh/Chị đến GAIA là “một điểm đến – đầy đủ cho bé cưng”. Anh/Chị có muốn GAIA gửi danh mục sản phẩm hiện có cùng bảng giá để tiện tham khảo không ạ?"
GAIA có bán thuốc thú y và vitamin cho thú cưng không ạ?,"Dạ, GAIA có cung cấp các loại thuốc cơ bản và vitamin cho thú cưng ạ. Ví dụ như thuốc tẩy giun, thuốc nhỏ tai, nhỏ mắt, sản phẩm trị ve rận, vitamin bổ sung canxi, vitamin lông da... đều có sẵn tại quầy thuốc của GAIA. Những thuốc đặc trị (kháng sinh, thuốc điều trị bệnh) sẽ được bán theo đơn của bác sĩ sau khi khám. Anh/Chị có thể yên tâm mua thuốc đúng bệnh, đúng liều cho bé ngay tại GAIA. Anh/Chị có cần GAIA tư vấn loại thuốc hoặc vitamin phù hợp với tình trạng của bé không ạ?"
Giá cả sản phẩm ở GAIA Pet Shop có cạnh tranh không ạ?,"Dạ, GAIA luôn cố gắng đưa ra mức giá hợp lý và cạnh tranh cho các sản phẩm ạ. Nhiều sản phẩm tại GAIA có giá tương đương hoặc chênh lệch không đáng kể so với các cửa hàng bên ngoài, nhưng Anh/Chị sẽ yên tâm hơn vì đảm bảo nguồn gốc chính hãng. Đặc biệt, GAIA có chương trình tích điểm và ưu đãi cho khách hàng thân thiết, giúp tiết kiệm chi phí mua sắm lâu dài. Anh/Chị có muốn đăng ký thẻ thành viên GAIA để hưởng giá ưu đãi khi mua hàng không ạ?"
Sản phẩm thức ăn và phụ kiện tại GAIA có đảm bảo chính hãng và an toàn không ạ?,"Dạ, tất cả sản phẩm tại GAIA đều là hàng chính hãng từ các thương hiệu uy tín ạ. GAIA chỉ nhập hàng từ nhà phân phối hoặc đại lý được ủy quyền, nên đảm bảo về chất lượng và xuất xứ rõ ràng. Hạn sử dụng của thức ăn, thuốc men luôn được kiểm tra kỹ, không bán hàng cận date hay kém chất lượng. Anh/Chị có thể hoàn toàn tin tưởng khi mua đồ cho bé ở GAIA. Nếu phát hiện sản phẩm có vấn đề, GAIA cũng hỗ trợ đổi trả nhanh chóng cho Anh/Chị. Anh/Chị có muốn GAIA cung cấp giấy tờ chứng minh nguồn gốc sản phẩm mà Anh/Chị quan tâm không ạ?"
"Em phân vân chưa biết chọn loại thức ăn nào phù hợp cho bé, GAIA có tư vấn được không ạ?","Dạ, nhân viên và bác sĩ tại GAIA rất sẵn lòng tư vấn cho Anh/Chị về chế độ dinh dưỡng của bé ạ. Nếu Anh/Chị cho biết giống, tuổi, cân nặng và tình trạng sức khỏe của bé, GAIA sẽ gợi ý loại thức ăn phù hợp (ví dụ: thức ăn cho chó con, cho mèo bị béo phì hay cho bé bị dị ứng). Chọn đúng thức ăn sẽ giúp bé khỏe mạnh và vui vẻ hơn. Anh/Chị có muốn trao đổi với bác sĩ dinh dưỡng của GAIA để tìm ra sản phẩm tốt nhất cho bé không ạ?"
GAIA có chương trình khuyến mãi hay giảm giá nào cho khách hàng không ạ?,"Dạ, GAIA thường xuyên có các chương trình khuyến mãi cho khách hàng ạ. Ví dụ như giảm giá 10-15% các mặt hàng thức ăn vào dịp đặc biệt, hoặc tri ân khách hàng cũ bằng phiếu giảm giá dịch vụ spa/shop. Thông tin khuyến mãi được cập nhật trên fanpage và tại cửa hàng. Ngoài ra, như đã chia sẻ, khách hàng thành viên sẽ tích điểm và hưởng chiết khấu thêm. Anh/Chị có muốn GAIA cập nhật cho mình về chương trình khuyến mãi hiện có hoặc đăng ký nhận thông báo ưu đãi qua email không ạ?"
GAIA có bán hàng online hoặc giao hàng tận nơi không ạ?,"Dạ, GAIA có hỗ trợ bán hàng từ xa và giao hàng tận nhà cho Anh/Chị ạ. Anh/Chị có thể đặt mua sản phẩm qua website, fanpage hoặc hotline của GAIA. Sau khi tiếp nhận đơn, GAIA sẽ đóng gói cẩn thận và gửi ship tận nơi cho Anh/Chị. Ở nội thành Hà Nội, thường chỉ trong ngày là nhận được hàng; các khu vực khác sẽ vận chuyển theo dịch vụ giao hàng (1-3 ngày tùy địa phương). Anh/Chị có muốn thử đặt mua online một sản phẩm để GAIA giao tận nhà cho mình không ạ?"
